标题,视频链接,封面图链接,时长,发布时间
乙瑛碑千字文38骸垢想浴執熱願涼驢騾犢特駭躍超驤誅斬賊盜捕獲叛亡,//v.youku.com/v_show/id_XNTgwNDgxNzE3Ng==.html?playMode=pugv,"https://m.ykimg.com/054F0601613ABCFB000001462F0DAC5F?x-oss-process=image/resize,w_500",13:13,2021-9-10 10:06
乙瑛碑千字文33陳根委翳落葉飄搖游鯤獨運凌摩絳霄耽讀翫市寓目囊箱,//v.youku.com/v_show/id_XNTgwNDIwNTk0MA==.html?playMode=pugv,"https://m.ykimg.com/054F06016138220DA8178AB3E80C8977?x-oss-process=image/resize,w_500",14:05,2021-9-8 11:41
乙瑛碑千字文35親戚故舊老少異糧妾御績紡侍巾帷房紈扇圓絜銀燭煒煌,//v.youku.com/v_show/id_XNTgwNDIwNzk2OA==.html?playMode=pugv,"https://m.ykimg.com/054F06016138235A0000017D61082057?x-oss-process=image/resize,w_500",13:19,2021-9-8 10:46
乙瑛碑千字文34易輶攸畏屬耳垣牆具膳餐飯適口充腸飽飫烹宰饑厭糟糠,//v.youku.com/v_show/id_XNTgwNDIwOTE5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060161382337A81BCF411E031FDE?x-oss-process=image/resize,w_500",14:25,2021-9-8 10:45
乙瑛碑千字文32欣奏累遣戚謝歡招渠荷的歷園莽抽條枇杷晚翠梧桐早凋,//v.youku.com/v_show/id_XNTgwNDIwNDY4NA==.html?playMode=pugv,"https://m.ykimg.com/054F0601613821FA0000014B770B99FA?x-oss-process=image/resize,w_500",12:25,2021-9-8 10:40
乙瑛碑千字文31兩疏見機解組誰逼索居閒處沉默寂寥求古尋論散慮逍遙,//v.youku.com/v_show/id_XNTgwNDIwNzU2NA==.html?playMode=pugv,"https://m.ykimg.com/054F0601613821FCA81798A50700235B?x-oss-process=image/resize,w_500",11:38,2021-9-8 10:38
乙瑛碑千字文29孟軻敦素史魚秉直庶幾中庸勞謙謹敕聆音察理鑒貌辨色,//v.youku.com/v_show/id_XNTgwMzUwMzk4OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601613463F300000112050404DF?x-oss-process=image/resize,w_500",12:44,2021-9-5 14:32
乙瑛碑千字文30貽厥嘉猷勉其祗植省躬譏誡寵增抗極殆辱近恥林皋幸即,//v.youku.com/v_show/id_XNTgwMzUwMzk5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060161346464000001630F03F21C?x-oss-process=image/resize,w_500",11:51,2021-9-5 14:32
乙瑛碑千字文27雁門紫塞雞田赤城昆池碣石巨野洞庭曠遠綿邈岩岫杳冥,//v.youku.com/v_show/id_XNTgwMzUwNTMxNg==.html?playMode=pugv,"https://m.ykimg.com/054F06016134631A00000119220107C0?x-oss-process=image/resize,w_500",11:16,2021-9-5 14:29
乙瑛碑千字文28治本於農務資稼穡俶載南畝我藝黍稷稅熟貢新勸賞黜陟,//v.youku.com/v_show/id_XNTgwMzUzOTI4NA==.html?playMode=pugv,"https://m.ykimg.com/054F06016134632B0000016D32063C7C?x-oss-process=image/resize,w_500",12:15,2021-9-5 14:29
乙瑛碑千字文26宣威沙漠馳譽丹青九州禹跡百郡秦并嶽宗泰岱禪主云亭,//v.youku.com/v_show/id_XNTgwMzUzOTI4MA==.html?playMode=pugv,"https://m.ykimg.com/054F06016134632A0000017026015ACD?x-oss-process=image/resize,w_500",11:18,2021-9-5 14:29
乙瑛碑千字文25假途滅虢踐土會盟何遵約法韓弊煩刑起翦頗牧用軍最精,//v.youku.com/v_show/id_XNTgwMjk3NzU5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F060161319AD20000013BE00980B9?x-oss-process=image/resize,w_500",12:41,2021-9-3 11:55
乙瑛碑千字文22高冠陪輦驅轂振纓世祿侈富車駕肥輕策功茂實勒碑刻銘,//v.youku.com/v_show/id_XNTgwMjk4MjEyOA==.html?playMode=pugv,"https://m.ykimg.com/054F060161319A1E0000012A2A0D50B9?x-oss-process=image/resize,w_500",12:35,2021-9-3 11:55
乙瑛碑千字文24綺回漢惠說感武丁俊乂密勿多士寔寧晉楚更霸趙魏困橫,//v.youku.com/v_show/id_XNTgwMzAwMjMwMA==.html?playMode=pugv,"https://m.ykimg.com/054F060161319AA6000001391D0CB7FB?x-oss-process=image/resize,w_500",10:37,2021-9-3 11:55
乙瑛碑千字文23磻溪伊尹佐時阿衡奄宅曲阜微旦孰營桓公匡合濟弱扶傾,//v.youku.com/v_show/id_XNTgwMjk4MjExNg==.html?playMode=pugv,"https://m.ykimg.com/054F060161319A01000001141408DBFF?x-oss-process=image/resize,w_500",10:27,2021-9-3 11:55
乙瑛碑千字文21杜稿鐘隸漆書壁經府羅將相路俠槐卿戶封八縣家給千兵,//v.youku.com/v_show/id_XNTgwMjk4MjEyNA==.html?playMode=pugv,"https://m.ykimg.com/054F060161319C75000001249402EBC9?x-oss-process=image/resize,w_500",11:10,2021-9-3 11:55
乙瑛碑千字文19圖寫禽獸畫彩仙靈丙舍傍啟甲帳對楹肆筵設席鼓瑟吹笙,//v.youku.com/v_show/id_XNTgwMjcxNjkzMg==.html?playMode=pugv,"https://m.ykimg.com/054F060161301CDB000001031D05B5BE?x-oss-process=image/resize,w_500",14:00,2021-9-2 08:42
乙瑛碑千字文20升階納陛弁轉疑星右通廣內左達承明既集墳典亦聚群英,//v.youku.com/v_show/id_XNTgwMjcxNjk1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060161301CCC000001408705E68A?x-oss-process=image/resize,w_500",11:24,2021-9-2 08:40
乙瑛碑千字文18都邑華夏東西二京背邙面洛浮渭據涇宮殿盤鬱樓觀飛驚,//v.youku.com/v_show/id_XNTgwMjcwNzgyOA==.html?playMode=pugv,"https://m.ykimg.com/054F060161301C240000011B160CBD75?x-oss-process=image/resize,w_500",12:39,2021-9-2 08:37
乙瑛碑千字文17性靜情逸心動神疲守真誌滿逐物意移堅持雅操好爵自縻,//v.youku.com/v_show/id_XNTgwMjcxMjQyNA==.html?playMode=pugv,"https://m.ykimg.com/054F060161301C010000014963056DB4?x-oss-process=image/resize,w_500",11:28,2021-9-2 08:36
乙瑛碑千字文16交友投分切磨箴規仁慈隱惻造次弗離節義廉退顛沛匪虧,//v.youku.com/v_show/id_XNTgwMjcwOTUwMA==.html?playMode=pugv,"https://m.ykimg.com/054F0408612EE14800000104BC090892?x-oss-process=image/resize,w_500",12:45,2021-9-2 08:34
乙瑛碑千字文14存以甘棠去而益詠樂殊貴賤禮別尊卑上和下睦夫唱婦隨,//v.youku.com/v_show/id_XNTgwMjQ4NDkzNg==.html?playMode=pugv,"https://m.ykimg.com/054F0601612EE143000001665D009A8F?x-oss-process=image/resize,w_500",12:29,2021-9-1 10:16
乙瑛碑千字文15交友投分切磨箴規仁慈隱惻造次弗離節義廉退顛沛匪虧,//v.youku.com/v_show/id_XNTgwMjQ4NDk2NA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612EE14800000104BC055376?x-oss-process=image/resize,w_500",12:45,2021-9-1 10:14
乙瑛碑千字文11資父事君曰嚴與敬孝當竭力忠則盡命臨深履薄夙興溫清,//v.youku.com/v_show/id_XNTgwMjQ4MDEzNg==.html?playMode=pugv,"https://m.ykimg.com/054F0601612EE0D300000111DD04C257?x-oss-process=image/resize,w_500",16:58,2021-9-1 10:13
乙瑛碑千字文13篤初誠美慎終宜令榮業所基籍甚無竟學優登仕攝職從政,//v.youku.com/v_show/id_XNTgwMjM4NjY2OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612EE05AA806ABA10206FD89?x-oss-process=image/resize,w_500",13:08,2021-9-1 10:11
乙瑛碑千字文12似蘭斯馨如松之盛川流不息淵澄取映容止若思言辭安定,//v.youku.com/v_show/id_XNTgwMjQ4MDEyNA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612EE08D0000015FAD0E528F?x-oss-process=image/resize,w_500",13:45,2021-9-1 10:11
乙瑛碑千字文09墨悲絲染詩贊羔羊景行維賢剋念作聖德建名立形端表正,//v.youku.com/v_show/id_XNTgwMjEyMTQwMA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612D9D6700000154FA08B360?x-oss-process=image/resize,w_500",14:11,2021-8-31 11:13
乙瑛碑千字文08知過必改得能莫忘罔談彼短靡恃己長信使可覆器欲難量,//v.youku.com/v_show/id_XNTgwMjExODA3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F0601612D9C8D00000102C2052559?x-oss-process=image/resize,w_500",13:43,2021-8-31 11:13
乙瑛碑千字文07蓋此身髮四大五常恭惟鞠養豈敢毀傷女慕貞潔男效才良,//v.youku.com/v_show/id_XNTgwMjI0MzUyOA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612D9C7F00000103C00AD6AB?x-oss-process=image/resize,w_500",13:17,2021-8-31 11:13
乙瑛碑千字文10空谷傳聲虛堂習聽禍因惡積福緣善慶尺璧非寶寸陰是競,//v.youku.com/v_show/id_XNTgwMjEyMTQxMg==.html?playMode=pugv,"https://m.ykimg.com/054F0601612D9D710000011AAA00DE90?x-oss-process=image/resize,w_500",14:39,2021-8-31 11:12
乙瑛碑千字文06遐邇壹體率賓歸王鳴鳳在樹白駒食場化被草木賴及萬方,//v.youku.com/v_show/id_XNTgwMjExOTY0OA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612D9C900000012841024208?x-oss-process=image/resize,w_500",13:21,2021-8-31 11:09
乙瑛碑千字文05吊民伐罪周發殷湯坐朝問道垂拱平章愛育黎首臣伏戎羌,//v.youku.com/v_show/id_XNTE5NzMyMjE2MA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612C446100000163E204E375?x-oss-process=image/resize,w_500",14:08,2021-8-30 10:40
乙瑛碑千字文04龍師火帝鳥官人皇始製文字乃服衣裳推位讓國有虞陶唐,//v.youku.com/v_show/id_XNTgwMTk0Mjc3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F0601612C444800000167EF064A22?x-oss-process=image/resize,w_500",13:02,2021-8-30 10:39
乙瑛碑千字文02閏餘成歲律呂調陽雲騰致雨露結為霜金生麗水玉出崑崗,//v.youku.com/v_show/id_XNTgwMTg1ODcyMA==.html?playMode=pugv,"https://m.ykimg.com/054F0601612C43B100000128DD099E06?x-oss-process=image/resize,w_500",15:45,2021-8-30 10:37
乙瑛碑千字文01天地玄黃宇宙洪荒日月盈昃辰宿列張寒來暑往秋收冬藏,//v.youku.com/v_show/id_XNTgwMTkzODI1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F0601612C4377000001254E0BB508?x-oss-process=image/resize,w_500",13:15,2021-8-30 10:37
乙瑛碑千字文03劍號巨闕珠稱夜光果珍李柰菜重芥薑海鹹河淡鱗潛羽翔,//v.youku.com/v_show/id_XNTE5NzMyMTU5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F0601612C4376000001128802B13C?x-oss-process=image/resize,w_500",13:39,2021-8-30 10:36
08從跳水運動來看書法的筆法折的寫法(完),//v.youku.com/v_show/id_XNTE5MjczODQ4OA==.html?playMode=pugv,"https://m.ykimg.com/054F06016114D6AC0000013C3704C02C?x-oss-process=image/resize,w_500",02:55,2021-8-12 16:08
07從跳水運動來看書法的筆法-挑的寫法,//v.youku.com/v_show/id_XNTE5MjczODUwMA==.html?playMode=pugv,"https://m.ykimg.com/054F06016114D6AE000001550A01CA36?x-oss-process=image/resize,w_500",04:18,2021-8-12 16:08
06從跳水運動來看書法的筆法-豎鉤的寫法,//v.youku.com/v_show/id_XNTE5MjE5ODg2NA==.html?playMode=pugv,"https://m.ykimg.com/054F0601611340CE000001722508269E?x-oss-process=image/resize,w_500",06:11,2021-8-11 11:17
05從跳水運動來看書法的筆法-點的寫法,//v.youku.com/v_show/id_XNTE5MjE5ODc0MA==.html?playMode=pugv,"https://m.ykimg.com/054F0601611340DF000001345F07F432?x-oss-process=image/resize,w_500",04:03,2021-8-11 11:16
04從跳水運動來看書法的筆法-捺的寫法,//v.youku.com/v_show/id_XNTE5MjE5NzYwNA==.html?playMode=pugv,"https://m.ykimg.com/054F0601611340A700000175E2003D2A?x-oss-process=image/resize,w_500",06:27,2021-8-11 11:16
02從跳水運動來看書法的筆法-豎畫的寫法,//v.youku.com/v_show/id_XNTE5MjE5NzYwMA==.html?playMode=pugv,"https://m.ykimg.com/054F0601611340710000010810024C7E?x-oss-process=image/resize,w_500",05:19,2021-8-11 11:15
03從跳水運動來看書法的筆法-撇的寫法,//v.youku.com/v_show/id_XNTE5MjE5NzU5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060161134087000001257F0157FC?x-oss-process=image/resize,w_500",05:38,2021-8-11 11:15
從跳水運動來看書法的筆法,//v.youku.com/v_show/id_XNTE5MTkxNzU5Ng==.html?playMode=pugv,"https://m.ykimg.com/054F06016112365B000001020C04D5F1?x-oss-process=image/resize,w_500",11:27,2021-8-10 16:21
11唐寅-集賢賓第21頁第22頁,//v.youku.com/v_show/id_XNTE4NDg5MjgwOA==.html?playMode=pugv,"https://m.ykimg.com/054F060160FA259600000179C80B86F5?x-oss-process=image/resize,w_500",24:25,2021-7-23 10:19
12唐寅-集賢賓第23頁到最後(完),//v.youku.com/v_show/id_XNTE4NDg5Mjg4OA==.html?playMode=pugv,"https://m.ykimg.com/054F060160FA25A30000013A2A0BB200?x-oss-process=image/resize,w_500",25:19,2021-7-23 10:18
09唐寅-集賢賓第17頁第18頁,//v.youku.com/v_show/id_XNTE4NDA2NTcwMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F779B4000001701A07E723?x-oss-process=image/resize,w_500",25:13,2021-7-21 09:42
10唐寅-集賢賓第19頁第20頁,//v.youku.com/v_show/id_XNTE4NDA2NTkyMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F779960000017478016606?x-oss-process=image/resize,w_500",22:22,2021-7-21 09:39
07唐寅-集賢賓第13頁第14頁,//v.youku.com/v_show/id_XNTE4NDA2MTU5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F7785400000149300C290B?x-oss-process=image/resize,w_500",27:32,2021-7-21 09:36
06唐寅-集賢賓第1頁第12頁,//v.youku.com/v_show/id_XNTE4NDA2MTU4OA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F7784700000118F10BB99D?x-oss-process=image/resize,w_500",26:19,2021-7-21 09:34
08唐寅-集賢賓第15頁第16頁,//v.youku.com/v_show/id_XNTE4NDA2MTU3Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060160F778160000011A550F1D46?x-oss-process=image/resize,w_500",24:43,2021-7-21 09:32
05唐寅-集賢賓第9頁第10頁,//v.youku.com/v_show/id_XNTE4MzgxODA4MA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F67BBC0000011ADA0EF62A?x-oss-process=image/resize,w_500",30:56,2021-7-20 15:40
04唐寅-集賢賓第7頁第8頁,//v.youku.com/v_show/id_XNTE4MzgxNzgyOA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F67B530000010D360C0C29?x-oss-process=image/resize,w_500",26:37,2021-7-20 15:38
03唐寅-集賢賓第5頁第6頁,//v.youku.com/v_show/id_XNTE4MzgxMzM2NA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F67A10000001694202CCC8?x-oss-process=image/resize,w_500",28:16,2021-7-20 15:32
01唐寅-集賢賓第1頁第2頁,//v.youku.com/v_show/id_XNTE4MzgxMzMyMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F6799C00000129990E9861?x-oss-process=image/resize,w_500",22:43,2021-7-20 15:29
02唐寅-集賢賓第3頁第4頁,//v.youku.com/v_show/id_XNTE4MzgxMzMzNg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F679BC00000106AD049F82?x-oss-process=image/resize,w_500",23:58,2021-7-20 15:28
26唐寅-落花詩第51頁到第52頁(完) 陳忠建示範,//v.youku.com/v_show/id_XNTE4MzI1OTQ1Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060160F4C9C30000011C8E009958?x-oss-process=image/resize,w_500",21:46,2021-7-19 08:43
24唐寅-落花詩第47頁到第48頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MzI1OTQyOA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F4C9950000017413009A4D?x-oss-process=image/resize,w_500",17:32,2021-7-19 08:42
25唐寅-落花詩第49頁到第50頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MzI1OTQ0MA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F4C9A5000001653309E7F2?x-oss-process=image/resize,w_500",18:26,2021-7-19 08:41
23唐寅-落花詩第45頁到第46頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4Mjk4MzgyMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F39ABF00000162ED042C2B?x-oss-process=image/resize,w_500",18:33,2021-7-18 10:38
20唐寅-落花詩第39頁到第40頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4Mjk4MTI4MA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F392CB0000012FFE058D58?x-oss-process=image/resize,w_500",21:13,2021-7-18 10:37
22唐寅-落花詩第43頁到第44頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4Mjk4MTMyMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F392E60000013035056A0F?x-oss-process=image/resize,w_500",22:04,2021-7-18 10:36
21唐寅-落花詩第41頁到第42頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4Mjk4MTI3Mg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F392E400000146DE05FABB?x-oss-process=image/resize,w_500",19:25,2021-7-18 10:36
18唐寅-落花詩第35頁到第36頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjU5MjE0NA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F231BA00000142830F3D2F?x-oss-process=image/resize,w_500",18:50,2021-7-17 09:30
19唐寅-落花詩第37頁到第38頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjU5MjI5Mg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F231830000010B3D0121A6?x-oss-process=image/resize,w_500",20:41,2021-7-17 09:30
17唐寅-落花詩第33頁到第34頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjU5MjI1Mg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F2318A00000139BF0C63E6?x-oss-process=image/resize,w_500",23:43,2021-7-17 09:29
16唐寅-落花詩第31頁到第32頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjU5MjAyNA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F2317F00000143B0021B46?x-oss-process=image/resize,w_500",22:52,2021-7-17 09:29
14唐寅-落花詩第27頁到第28頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjE5NzAxMg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F0DE4D00000129220E9083?x-oss-process=image/resize,w_500",24:32,2021-7-16 09:23
12唐寅-落花詩第23頁到第24頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjE5Njg4OA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F0DE4A0000014AE20C10E1?x-oss-process=image/resize,w_500",23:29,2021-7-16 09:23
15唐寅-落花詩第29頁到第30頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjE5NzEyMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160F0DE7200000133B900A9B2?x-oss-process=image/resize,w_500",23:32,2021-7-16 09:23
13唐寅-落花詩第25頁到第26頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MjE5Njk1Mg==.html?playMode=pugv,"https://m.ykimg.com/054F060160F0DE4F00000154950A3350?x-oss-process=image/resize,w_500",21:24,2021-7-16 09:23
11唐寅-落花詩第21頁到第22頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTgyNzgwMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EF9A020000013EFD0233F8?x-oss-process=image/resize,w_500",20:39,2021-7-15 10:18
10唐寅-落花詩第19頁到第20頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTgyNzc3Ng==.html?playMode=pugv,"https://m.ykimg.com/054F060160EF9A0D000001722E05F7F8?x-oss-process=image/resize,w_500",19:43,2021-7-15 10:18
06唐寅-落花詩第11頁到第12頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTgxODQyMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EF966200000174620413DB?x-oss-process=image/resize,w_500",26:06,2021-7-15 10:03
08唐寅-落花詩第15頁到第16頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTgxODQ4OA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EF965F000001602C0EAA9B?x-oss-process=image/resize,w_500",25:10,2021-7-15 10:02
09唐寅-落花詩第17頁到第18頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTgxODUzMg==.html?playMode=pugv,"https://m.ykimg.com/054F060160EF96900000010A320D64F3?x-oss-process=image/resize,w_500",21:07,2021-7-15 10:02
05唐寅-落花詩第9頁到第10頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTU1OTAwNA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EE9A3100000101B90A682C?x-oss-process=image/resize,w_500",21:47,2021-7-14 16:07
07唐寅-落花詩第13頁到第14頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTU1ODI4OA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EE99BB00000175680BFF60?x-oss-process=image/resize,w_500",21:24,2021-7-14 16:06
03唐寅-落花詩第5頁到第6頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTUyODkxMg==.html?playMode=pugv,"https://m.ykimg.com/054F060160EE959E000001319704BFAE?x-oss-process=image/resize,w_500",27:25,2021-7-14 15:54
02唐寅-落花詩第3頁到第4頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTUyODgwMA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EE957D0000016CD90243F3?x-oss-process=image/resize,w_500",27:15,2021-7-14 15:51
04唐寅-落花詩第7頁到第8頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTUyODk4MA==.html?playMode=pugv,"https://m.ykimg.com/054F060160EE95850000015A0B03F123?x-oss-process=image/resize,w_500",26:38,2021-7-14 15:48
01唐寅-落花詩第1頁到第2頁 陳忠建示範,//v.youku.com/v_show/id_XNTE4MTE0NDA0MA==.html?playMode=pugv,"https://m.ykimg.com/054F060160ED4E450000016E81041976?x-oss-process=image/resize,w_500",37:59,2021-7-13 16:36
